"State","AppliedSetting","OffloadState","Caption","Description","ElementName","InstanceID","CommunicationStatus","DetailedStatus","HealthState","InstallDate","Name","OperatingStatus","OperationalStatus","PrimaryStatus","Status","StatusDescriptions","AvailableRequestedStates","EnabledDefault","EnabledState","OtherEnabledState","RequestedState","TimeOfLastStateChange","TransitioningToState","AggregationBehavior","Directionality","CreationTime","LocalAddress","LocalPort","OwningProcess","RemoteAddress","RemotePort","PSComputerName"
"Bound",,"InHost",,,,"::++50691++::++0",,,,,,,,,,,,"2",,,"5",,"12",,,"02/06/2022 18:09:24","::","50691","5912","::","0",
"Listen",,"InHost",,,,"::++49671++::++0",,,,,,,,,,,,"2",,,"5",,"12",,,"02/06/2022 17:03:16","::","49671","896","::","0",
"Listen",,"InHost",,,,"::1++49669++::++0",,,,,,,,,,,,"2",,,"5",,"12",,,"02/06/2022 17:03:15","::1","49669","3860","::","0",
"Listen",,"InHost",,,,"::++49668++::++0",,,,,,,,,,,,"2",,,"5",,"12",,,"02/06/2022 17:03:15","::","49668","3264","::","0",
"Listen",,"InHost",,,,"::++49667++::++0",,,,,,,,,,,,"2",,,"5",,"12",,,"02/06/2022 17:03:14","::","49667","1688","::","0",
"Listen",,"InHost",,,,"::++49666++::++0",,,,,,,,,,,,"2",,,"5",,"12",,,"02/06/2022 17:03:14","::","49666","1404","::","0",
"Listen",,"InHost",,,,"::++49665++::++0",,,,,,,,,,,,"2",,,"5",,"12",,,"02/06/2022 17:03:14","::","49665","804","::","0",
"Listen",,"InHost",,,,"::++49664++::++0",,,,,,,,,,,,"2",,,"5",,"12",,,"02/06/2022 17:03:14","::","49664","964","::","0",
"Listen",,"InHost",,,,"::++17500++::++0",,,,,,,,,,,,"2",,,"5",,"12",,,"02/06/2022 17:04:25","::","17500","12244","::","0",
"Listen",,"InHost",,,,"::++8000++::++0",,,,,,,,,,,,"2",,,"5",,"12",,,"02/06/2022 17:40:54","::","8000","5444","::","0",
"Listen",,"InHost",,,,"::++7680++::++0",,,,,,,,,,,,"2",,,"5",,"12",,,"02/06/2022 17:03:15","::","7680","2896","::","0",
"Listen",,"InHost",,,,"::++5990++::++0",,,,,,,,,,,,"2",,,"5",,"12",,,"02/06/2022 17:07:12","::","5990","10036","::","0",
"Listen",,"InHost",,,,"::++445++::++0",,,,,,,,,,,,"2",,,"5",,"12",,,"02/06/2022 17:03:16","::","445","4","::","0",
"Listen",,"InHost",,,,"::++135++::++0",,,,,,,,,,,,"2",,,"5",,"12",,,"02/06/2022 17:03:14","::","135","1068","::","0",
"Listen",,"InHost",,,,"::++80++::++0",,,,,,,,,,,,"2",,,"5",,"12",,,"02/06/2022 17:32:08","::","80","2940","::","0",
"Bound",,"InHost",,,,"0.0.0.0++50693++0.0.0.0++0",,,,,,,,,,,,"2",,,"5",,"12",,,"02/06/2022 18:09:38","0.0.0.0","50693","2896","0.0.0.0","0",
"Bound",,"InHost",,,,"0.0.0.0++50688++0.0.0.0++0",,,,,,,,,,,,"2",,,"5",,"12",,,"02/06/2022 18:09:01","0.0.0.0","50688","12244","0.0.0.0","0",
"Bound",,"InHost",,,,"0.0.0.0++50684++0.0.0.0++0",,,,,,,,,,,,"2",,,"5",,"12",,,"02/06/2022 18:08:14","0.0.0.0","50684","10904","0.0.0.0","0",
"Bound",,"InHost",,,,"0.0.0.0++50667++0.0.0.0++0",,,,,,,,,,,,"2",,,"5",,"12",,,"02/06/2022 18:06:38","0.0.0.0","50667","2856","0.0.0.0","0",
"Bound",,"InHost",,,,"0.0.0.0++50665++0.0.0.0++0",,,,,,,,,,,,"2",,,"5",,"12",,,"02/06/2022 18:06:16","0.0.0.0","50665","12244","0.0.0.0","0",
"Bound",,"InHost",,,,"0.0.0.0++50660++0.0.0.0++0",,,,,,,,,,,,"2",,,"5",,"12",,,"02/06/2022 18:05:35","0.0.0.0","50660","7528","0.0.0.0","0",
"Bound",,"InHost",,,,"0.0.0.0++50659++0.0.0.0++0",,,,,,,,,,,,"2",,,"5",,"12",,,"02/06/2022 18:05:33","0.0.0.0","50659","7528","0.0.0.0","0",
"Bound",,"InHost",,,,"0.0.0.0++50641++0.0.0.0++0",,,,,,,,,,,,"2",,,"5",,"12",,,"02/06/2022 18:04:13","0.0.0.0","50641","12600","0.0.0.0","0",
"Bound",,"InHost",,,,"0.0.0.0++50640++0.0.0.0++0",,,,,,,,,,,,"2",,,"5",,"12",,,"02/06/2022 18:04:10","0.0.0.0","50640","12600","0.0.0.0","0",
"Bound",,"InHost",,,,"0.0.0.0++50604++0.0.0.0++0",,,,,,,,,,,,"2",,,"5",,"12",,,"02/06/2022 17:57:22","0.0.0.0","50604","6252","0.0.0.0","0",
